id,name,description,details
1,Industrial Sector Closed,you see the path leading to the heart of the Industrial Sector.,"You begin your adventure in the heart of the Industrial Sector, a gritty and bustling district, where the clang of machinery and the scent of metal permeate the air."
2,Industrial Sector Open,you see the path leading to the heart of the Industrial Sector.,"You are in the heart of the Industrial Sector, a gritty and bustling district, where the clang of machinery and the scent of metal permeate the air."
3,Nexus Square,you hear the buzzing activity in the Nexus Squre.,"Nexus Square is the central hub where the city's different districts converge. This vibrant square acts as a crossroads, buzzing with activity day and night."
4,Binary Bazaar,"you see the Binary Bazaar, its neon-lit storefronts beckoning with technological wonders.","As you step into the Binary Bazaar, you're greeted by a cacophony of voices, the hum of digital transactions, and the flickering glow of holographic displays. Merchants peddle their wares, performers showcase their talents, and information brokers whisper secrets."
5,Chip n Bits,"the sign above the entrance reads ""Chip n Bits"" in flickering letters.","You step into Chip n Bits, a small shop with computer parts stacked from floor to ceiling. The air is tinged with the scent of soldering irons and overheated machinery."
6,Code Couture,"the name ""Code Couture"" is elegantly emblazoned on a sign above the entrance.","You step into Code Couture, a sleek and futuristic boutique that merges fashion with cutting-edge technology. The walls are adorned with interactive displays, showcasing garments embedded with illuminated fibers and integrated displays."
7,Firewall Entrance,you catch a glimpse of the towering walls of Firewall Fortress.,"The imposing Firewall Fortress looms before you, its walls bristling with defensive mechanisms and formidable security measures. Guards patrol the entrance, scrutinizing everyone who dares approach. To proceed, you must find a way to bypass these formidable defenses."
8,Firewall Central Chamber,the corridor opens onto the Central Chamber.,"You step into the Central Chamber, a spacious room, dimly lit by flickering torches."
9,Firewall West Wing,the corridor leads to the hard edges of the West Wing.,"You enter the West Wing. The corridor stretches before you, flanked by sturdy walls adorned with holographic tapestries depicting ancient myths and legends."
10,West Wing Armory,the West Wing Armory can be seen through the open doorway.,"As you step into the West Wing Armory, the room echoes with a faint metallic clang. Weapon racks line the walls, showcasing an array of archaic and futuristic armaments."
11,West Wing Control Room,you see the faint glow of monitors coming from the West Wing Control Room.,"As you enter the Control Room, an array of monitors and holographic displays come to life, showing intricate diagrams and surveillance footage."
12,Firewall East Wing,the corridor leads to the graceful curves of the East Wing.,"You find yourself in the East Wing of the Firewall Fortress. The corridor curves gently, adorned with ancient artwork depicting serene landscapes and distant vistas. The ambiance here is one of tranquility, a stark contrast to the fortress's outer defenses."
13,East Wing Library,the entrance to the East Wing Library beckons your attention.,"Stepping into the East Wing Library, the scent of aged parchment fills the air. Sunlight filters through stained glass windows, casting vibrant hues across the many shelves of dusty old books."
14,East Wing Courtyard Closed,you hear the gentle sounds of trickling water coming from the East Wing Courtyard.,"A tranquil garden stretches out before you, with vibrant flowers and delicate fountains. The chirping of digital birds and the soothing sound of trickling water create an oasis of calm amidst the stronghold's chaos."
15,East Wing Courtyard Open,you hear the gentle sounds of trickling water coming from the East Wing Courtyard.,"A tranquil garden stretches out before you, with vibrant flowers and delicate fountains. The chirping of digital birds and the soothing sound of trickling water create an oasis of calm amidst the stronghold's chaos."
16,Courtyard Hidden Corridor Closed,"hidden beneath the courtyard floor, you see a dimly lit passageway.","You step down into the narrow passageway, its walls covered in flickering lights and cables snaking along the floor. The air is heavy with an aura of tension and secrecy."
17,Firewall Secret Lair,you sense a faint surge of energy coming from the room on the other side.,You find yourself in a hidden lair of unimaginable grandeur. 
18,Courtyard Hidden Corridor Open,"hidden beneath the courtyard floor, you see a dimly lit passageway.","You step down into the narrow passageway, its walls covered in flickering lights and cables snaking along the floor. The air is heavy with an aura of tension and secrecy."
19,The End,no text,You have reached the end of this Adventure.